Lebensmittel;Lebensmittelsymbol;Kategorie;Kategoriesymbol;VitaminA_ug_RAE;VitaminB1_mg;VitaminB2_mg;VitaminB6_mg;VitaminB12_ug;VitaminC_mg;VitaminD3_ug;VitaminE_mg;VitaminK_ug;Omega3_g;Omega6_g;Omega9_g;Alanin_g;Arginin_g;Asparaginsaeure_g;Cystein_g;Glutaminsaeure_g;Glycin_g;Histidin_g;Isoleucin_g;Leucin_g;Lysin_g;Methionin_g;Phenylalanin_g;Prolin_g;Serin_g;Threonin_g;Tryptophan_g;Tyrosin_g;Valin_g
Vollkornbrot;Vollkornbrot.svg;Getreide;Getreide.svg;0;0,28;0,12;0,15;0;0;0;0,6;3;0,15;1,0;0,3;0,3;0,4;0,6;0,15;2,8;0,4;0,2;0,35;0,55;0,25;0,13;0,4;0,9;0,45;0,28;0,1;0,25;0,4
Weißbrot;Weissbrot.svg;Getreide;Getreide.svg;0;0,2;0,08;0,05;0;0;0;0,2;1;0,05;0,5;0,15;0,25;0,3;0,4;0,1;2,5;0,3;0,15;0,3;0,5;0,2;0,1;0,35;0,8;0,35;0,22;0,08;0,2;0,3
Brötchen (Weizen);Broetchen_Weizen.svg;Getreide;Getreide.svg;0;0,18;0,07;0,05;0;0;0;0,2;1;0,05;0,5;0,15;0,25;0,3;0,4;0,1;2,4;0,3;0,15;0,3;0,5;0,2;0,1;0,35;0,8;0,35;0,22;0,08;0,2;0,3
Nudeln, gekocht;Nudeln_gekocht.svg;Getreide;Getreide.svg;0;0,05;0,02;0,03;0;0;0;0,1;0,5;0,03;0,3;0,1;0,2;0,25;0,3;0,08;1,8;0,2;0,12;0,24;0,4;0,15;0,08;0,28;0,6;0,28;0,17;0,06;0,16;0,24
Reis, weiß, gekocht;Reis_weiss_gekocht.svg;Getreide;Getreide.svg;0;0,02;0,01;0,04;0;0;0;0,03;0,1;0,01;0,05;0,05;0,15;0,2;0,25;0,05;0,5;0,1;0,08;0,12;0,2;0,06;0,06;0,13;0,15;0,13;0,1;0,03;0,09;0,15
Reis, Vollkorn, gekocht;Reis_Vollkorn_gekocht.svg;Getreide;Getreide.svg;0;0,1;0,02;0,15;0;0;0;0,2;0,2;0,02;0,1;0,08;0,18;0,22;0,28;0,06;0,6;0,12;0,09;0,14;0,22;0,07;0,07;0,15;0,18;0,15;0,11;0,04;0,1;0,17
Kartoffeln, gekocht;Kartoffeln_gekocht.svg;Gemüse;Gemuese.svg;0;0,1;0,02;0,25;0;13;0;0,01;1,9;0,01;0,03;0;0,06;0,1;0,4;0,02;0,3;0,08;0,03;0,09;0,11;0,04;0,03;0,09;0,06;0,08;0,07;0,02;0,05;0,09
Haferflocken;Haferflocken.svg;Getreide;Getreide.svg;0;0,5;0,11;0,1;0;0;0;0,4;0;0,11;2,4;1,2;0,7;0,9;1,1;0,3;3,2;0,6;0,3;0,6;0,9;0,25;0,25;0,7;0,7;0,6;0,4;0,2;0,4;0,7
Müsli (ungezuckert);Muesli_ungezuckert.svg;Getreide;Getreide.svg;1;0,4;0,13;0,12;0;2;0;1,5;2;0,2;3,0;1,5;0,6;0,8;1,0;0,25;2,8;0,5;0,28;0,5;0,8;0,24;0,22;0,6;0,6;0,5;0,38;0,18;0,35;0,6
Cornflakes;Cornflakes.svg;Getreide;Getreide.svg;300;0,8;0,9;0,9;2;30;0;3;0,1;0,02;0,5;0,2;0,2;0,3;0,4;0,08;1,4;0,2;0,15;0,25;0,4;0,1;0,1;0,3;0,3;0,3;0,2;0,06;0,2;0,3
Milch, 3,5%;Milch.svg;Milchprodukte;Milchprodukte.svg;28;0,04;0,18;0,04;0,4;1;0,03;0,1;0,3;0,01;0,1;0,9;0,11;0,12;0,26;0,03;0,7;0,06;0,09;0,18;0,28;0,09;0,16;0,18;0,31;0,18;0,16;0,05;0,17;0,24
Magermilch;Magermilch.svg;Milchprodukte;Milchprodukte.svg;1;0,04;0,18;0,04;0,4;1;0;0;0,3;0,001;0,01;0,02;0,11;0,12;0,26;0,03;0,7;0,06;0,09;0,18;0,28;0,09;0,16;0,18;0,31;0,18;0,16;0,05;0,17;0,24
Joghurt, natur (3,5%);Joghurt_natur.svg;Milchprodukte;Milchprodukte.svg;27;0,04;0,18;0,05;0,4;1;0,03;0,08;0,2;0,01;0,1;0,8;0,12;0,13;0,28;0,03;0,75;0,06;0,1;0,19;0,3;0,1;0,17;0,19;0,33;0,19;0,17;0,05;0,18;0,26
Magerquark;Magerquark.svg;Milchprodukte;Milchprodukte.svg;2;0,03;0,2;0,05;0,7;0;0;0,03;0,2;0,005;0,02;0,03;0,35;0,4;0,85;0,09;2,2;0,19;0,29;0,55;0,9;0,31;0,5;0,58;1,0;0,58;0,5;0,15;0,5;0,7
Käse, Gouda;Kaese_Gouda.svg;Milchprodukte;Milchprodukte.svg;210;0,03;0,35;0,06;1,7;0;0,6;0,5;2,5;0,1;0,5;7,0;0,7;0,8;1,7;0,18;4,4;0,4;0,6;1,1;1,9;0,6;1,0;1,3;2,4;1,3;0,9;0,3;1,1;1,5
Käse, Emmentaler;Kaese_Emmentaler.svg;Milchprodukte;Milchprodukte.svg;230;0,03;0,35;0,08;3,0;0;0,9;0,6;2,5;0,15;0,6;7,5;0,75;0,85;1,8;0,19;4,8;0,42;0,65;1,15;2,0;0,65;1,1;1,4;2,5;1,4;0,95;0,32;1,15;1,6
Butter;Butter.svg;Fette;Fette.svg;650;0;0,02;0;0,1;0;0,9;2,0;7,0;0,3;2,0;20;0,02;0,02;0,05;0,01;0,15;0,02;0,02;0,03;0,06;0,03;0,02;0,03;0,05;0,03;0,03;0,01;0,03;0,04
Margarine;Margarine.svg;Fette;Fette.svg;800;0;0;0;0;0;7,5;10;60;1,0;15;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ei, Huhn (Vollei);Ei_Huhn_Vollei.svg;Eier;Eier.svg;160;0,09;0,45;0,12;1,1;0;1,8;1,0;0,3;0,05;1,2;3,7;0,7;0,8;1,3;0,29;1,6;0,4;0,3;0,68;1,0;0,4;0,38;0,68;0,5;0,87;0,56;0,17;0,51;0,86
Rindfleisch, mager;Rindfleisch_mager.svg;Fleisch;Fleisch.svg;0;0,09;0,2;0,4;2,6;0;0,1;0,3;1,5;0,03;0,15;0,9;1,2;1,3;1,9;0,24;3,3;1,0;0,9;1,05;1,7;0,55;0,55;0,85;0,85;0,8;0,9;0,22;0,75;1,05
Schweinefleisch, mager;Schweinefleisch_mager.svg;Fleisch;Fleisch.svg;5;0,9;0,25;0,5;0,7;0;1,1;0,3;0;0,03;1,3;3,0;1,15;1,25;1,85;0,22;3,2;0,98;0,85;1,0;1,6;0,55;0,53;0,82;0,82;0,78;0,85;0,22;0,72;1,0
Hähnchenbrust;Haehnchenbrust.svg;Fleisch;Fleisch.svg;5;0,07;0,1;0,6;0,3;0;0,1;0,3;0;0,02;1,0;3,2;1,3;1,4;2,0;0,26;3,5;1,1;1,05;1,15;1,7;0,65;0,65;0,9;0,9;0,85;0,9;0,25;0,75;1,1
Pute;Pute.svg;Fleisch;Fleisch.svg;0;0,06;0,15;0,6;0,4;0;0,1;0,2;0;0,02;0,9;3,0;1,3;1,4;2,0;0,27;3,4;1,05;1,05;1,15;1,7;0,65;0,65;0,9;0,9;0,85;0,9;0,25;0,75;1,1
Lachs;Lachs.svg;Fisch;Fisch.svg;50;0,2;0,15;0,6;3,2;0;11;1,1;0,1;2,3;0,5;3,5;1,2;1,15;1,9;0,22;2,9;1,0;0,55;0,9;1,6;1,9;0,6;0,8;0,7;0,85;0,9;0,22;0,65;1,05
Thunfisch;Thunfisch.svg;Fisch;Fisch.svg;20;0,3;0,1;0,9;2,2;0;5,7;1,0;0,1;1,5;0,1;0,6;1,5;1,4;2,4;0,28;3,6;1,1;1,15;1,2;2,0;2,6;0,75;1,0;0,85;1,0;1,1;0,28;0,8;1,3
Hering;Hering.svg;Fisch;Fisch.svg;30;0,1;0,2;0,4;13;0;25;1,2;0,1;1,8;0,2;1,2;1,1;1,05;1,75;0,2;2,6;0,9;0,5;0,8;1,4;1,7;0,55;0,7;0,6;0,75;0,8;0,2;0,6;0,9
Garnelen;Garnelen.svg;Fisch;Fisch.svg;30;0,02;0,03;0,1;1,3;2;0,1;1,3;0;0,5;0,1;0,3;1,0;1,4;1,7;0,19;2,6;0,9;0,4;0,85;1,4;1,6;0,5;0,75;0,65;0,7;0,75;0,19;0,6;0,85
Leberwurst;Leberwurst.svg;Fleisch;Fleisch.svg;3000;0,2;1,5;0,3;10;3;1,0;0,5;20;0,15;2,0;7,0;0,85;0,9;1,4;0,2;2,4;0,7;0,5;0,75;1,2;0,55;0,4;0,6;0,65;0,6;0,6;0,16;0,55;0,75
