Kategorie,Lebensmittel,Vitamin_A_µg,Vitamin_B1_µg,Vitamin_B2_µg,Vitamin_B3_µg,Vitamin_B5_µg,Vitamin_B6_µg,Vitamin_B7_µg,Vitamin_B9_µg,Vitamin_B12_µg,Vitamin_C_µg,Vitamin_D_µg,Vitamin_E_µg,Vitamin_K_µg
Obst,Apfel,3,30,20,100,70,40,1,3,0,12000,0,500,2
Obst,Orange,11,80,30,280,250,50,1,31,0,50000,0,240,0
Obst,Banane,4,40,60,700,260,360,5,20,0,12000,0,270,1
Obst,Erdbeere,7,20,22,500,300,60,2,65,0,65000,0,290,2
Obst,Kiwi,15,10,50,500,183,63,1,38,0,80000,0,1500,40
Obst,Avocado,7,70,130,1700,1390,280,3,89,0,10000,0,2070,21
Obst,Heidelbeere,5,40,41,400,125,52,2,10,0,22000,0,800,19
Obst,Zitrone,2,40,20,100,200,80,1,11,0,53000,0,300,0
Obst,Mango,54,40,38,680,197,134,2,43,0,36000,0,900,4
Obst,Hagebutte,11,10,100,2100,600,270,1,6,0,1250000,0,3400,26
Gemüse,Karotte,1200,60,60,900,200,150,2,24,0,8000,0,500,13
Gemüse,Spinat,469,90,200,700,330,195,2,194,0,51000,0,2000,483
Gemüse,Brokkoli,31,70,100,700,510,175,2,119,0,115000,0,770,102
Gemüse,Rote Paprika,157,50,90,1000,240,290,2,23,0,140000,0,4000,5
Gemüse,Tomate,62,50,20,700,270,90,2,20,0,19000,0,800,8
Gemüse,Grünkohl,769,100,130,1000,91,271,3,141,0,105000,0,1540,817
Gemüse,Erbsen (frisch),38,260,110,2200,104,160,2,65,0,25000,0,2600,24
Gemüse,Knoblauch,0,200,110,600,596,1235,3,3,0,31000,0,80,2
Gemüse,Süßkartoffel,961,80,60,600,799,286,3,11,0,20000,0,260,2
Gemüse,Kürbis,426,50,110,600,298,61,2,16,0,9000,0,1060,1
Fleisch,Hühnerbrust,7,90,110,12000,900,900,5,5,0.3,0,0,200,0
Fleisch,Rindfleisch (mager),4,90,200,5600,390,370,3,8,2.6,0,0.1,200,0
Fleisch,Schweinefleisch (mager),9,800,200,5600,800,500,5,4,0.7,0,0.7,250,0
Fleisch,Putenbrustfilet,0,65,160,9700,900,810,2,8,0.5,0,0,250,0
Fleisch,Lammfleisch,0,120,250,6500,600,220,4,18,2.4,0,0.5,180,0
Fisch,Lachs,27,180,390,8000,1630,780,4,26,3.2,4000,16,1800,0
Fisch,Hering,28,40,160,3500,700,300,10,10,13,1000,27,1700,0
Fisch,Thunfisch (frisch),65,250,250,18000,1100,900,0,6,4.9,0,4,600,0
Fisch,Makrele,50,170,360,8000,760,400,8,1,12,0,16,1800,0
Fisch,Forelle,20,130,130,4900,1600,340,6,15,5.4,3000,19,1200,0
Milchprodukte,Vollmilch (3,5%),39,40,170,100,330,50,3,5,0.4,2000,0.1,100,3
Milchprodukte,Joghurt (3,5%),30,30,140,100,360,40,3,7,0.4,1000,0.1,60,0
Milchprodukte,Gouda,222,30,300,70,280,80,3,18,1.5,0,0.2,390,20
Milchprodukte,Quark (20%),30,30,140,100,250,50,3,16,0.9,0,0.1,80,0
Milchprodukte,Butter,653,0,20,30,30,0,2,0,0.1,0,1.2,2000,7
Eier,Hühnerei (Vollei),271,100,320,100,1460,120,20,67,1.7,0,2.9,1110,7
Getreide,Haferflocken,0,560,100,1100,1350,160,20,87,0,0,0,1400,2
Getreide,Vollkornbrot,0,200,90,2600,500,200,6,37,0,0,0,800,0
Getreide,Weizenkeim,0,2000,720,6200,1650,1400,17,520,0,0,0,27000,0
Hülsenfrüchte,Linsen (getrocknet),2,470,250,2700,1360,540,10,433,0,6000,0,500,5
Hülsenfrüchte,Kichererbsen (getrocknet),3,470,210,1500,1394,535,2,557,0,4000,0,350,9
Hülsenfrüchte,Weiße Bohnen (getrocknet),0,560,180,2100,1200,560,10,340,0,5000,0,200,19
Nüsse und Samen,Mandeln,0,210,650,4000,471,130,10,44,0,0,0,25630,0
Nüsse und Samen,Walnüsse,4,340,130,1300,650,540,0,77,0,6000,0,700,3
Nüsse und Samen,Sonnenblumenkerne,4,1480,280,8200,6713,1100,8,237,0,1400,0,35100,0
Nüsse und Samen,Kürbiskerne,0,230,230,4400,240,140,2,58,0,1900,0,260,0
Nüsse und Samen,Leinsamen,0,167,161,3210,985,473,6,87,0,500,0,570,4
Nüsse und Samen,Chiasamen,0,620,170,8830,930,560,0,49,0,1600,0,500,0
Innereien,Rinderleber,10800,220,3190,13400,8800,1020,100,590,65,23000,0,830,4
Innereien,Hühnerleber,11100,260,2720,12000,9000,700,200,650,50,17000,0,400,0
Öle und Fette,Olivenöl,0,0,0,0,0,0,0,0,0,0,0,14350,60
Öle und Fette,Rapsöl,0,0,0,0,0,0,0,0,0,0,0,18900,71
Öle und Fette,Sonnenblumenöl,0,0,0,0,0,0,0,0,0,0,0,62000,5
Öle und Fette,Leinöl,0,0,0,0,0,0,0,0,0,0,0,17500,9
